timestamp,energy,protein,fat,carb,salt
2026-01-30 22:42:38,476,11.8,18.2,88.5,2.74
2026-01-31 11:15:38,450,16.9,15.5,84.5,1.83
2026-02-01 02:40:38,528,12.1,40.6,93.8,2.24
2026-02-01 15:16:38,96,1.2,3.6,13.0,2.33
2026-02-02 00:14:38,318,14.5,16.3,52.5,0.38
2026-02-02 07:51:38,700,25.9,34.0,81.7,2.64
2026-02-02 16:40:38,632,22.0,33.9,113.9,3.38
2026-02-02 22:29:38,692,32.9,49.2,69.8,0.87
2026-02-03 11:07:38,356,14.9,27.7,41.3,1.92
2026-02-03 21:15:38,307,7.5,20.6,32.6,3.39
2026-02-04 07:56:38,705,31.9,43.3,89.3,1.45
2026-02-04 14:49:38,400,18.0,31.7,41.7,2.23
2026-02-05 01:57:38,602,15.8,21.1,74.8,2.1
2026-02-05 10:34:38,784,25.9,61.5,156.7,1.67
2026-02-05 16:16:38,718,30.0,54.8,93.9,1.74
2026-02-06 02:49:38,478,23.7,38.1,70.1,2.97
2026-02-06 07:47:38,103,1.8,5.0,13.7,3.35
2026-02-06 11:23:38,662,30.5,18.6,85.3,0.36
2026-02-06 23:46:38,274,7.7,14.4,36.8,1.8
2026-02-07 02:57:38,505,9.2,19.3,61.2,3.98
2026-02-07 06:54:38,166,7.2,9.8,31.3,2.17
2026-02-07 11:17:38,730,21.9,26.3,124.4,0.58
2026-02-07 23:18:38,343,16.7,11.8,54.7,1.85
2026-02-08 12:03:38,654,31.5,39.5,92.0,3.82
2026-02-08 17:19:38,625,17.5,13.3,66.3,3.64
2026-02-09 00:23:38,375,16.4,28.2,70.5,0.95
2026-02-09 04:15:38,453,10.3,20.1,61.9,2.01
2026-02-09 10:16:38,592,21.0,34.2,78.7,3.08
2026-02-09 18:21:38,76,0.9,4.9,9.3,3.79
2026-02-10 02:22:38,256,5.8,18.7,48.9,0.13
2026-02-10 06:59:38,737,22.8,54.1,120.4,3.87
2026-02-10 11:16:38,359,17.9,28.6,60.5,1.77
2026-02-10 16:11:38,711,29.8,17.4,134.0,2.41
2026-02-10 22:43:38,246,11.2,9.4,46.8,1.4
2026-02-11 04:08:38,76,1.0,5.6,7.8,3.71
2026-02-11 07:30:38,163,7.4,11.9,20.9,2.64
2026-02-11 13:09:38,127,2.1,5.5,24.5,0.97
2026-02-11 20:17:38,649,21.1,25.6,114.5,3.9
2026-02-12 06:25:38,233,5.4,6.3,30.0,1.29
2026-02-12 17:18:38,176,6.6,4.2,20.8,2.25
2026-02-13 01:32:38,317,8.0,16.5,40.8,0.58
2026-02-13 05:59:38,417,7.3,20.6,62.1,1.87
2026-02-13 12:05:38,281,3.1,18.2,56.1,1.95
2026-02-13 17:12:38,56,0.7,4.4,11.2,0.42
2026-02-14 02:53:38,103,2.2,4.4,17.8,2.19
2026-02-14 09:37:38,132,1.7,4.7,13.4,2.43
2026-02-14 20:33:38,460,13.1,30.1,87.2,2.69
2026-02-15 02:40:38,175,1.8,5.3,26.1,2.93
2026-02-15 06:00:38,55,1.7,2.7,5.6,1.02
2026-02-15 15:19:38,289,10.6,21.8,38.8,3.41
2026-02-15 22:47:38,668,9.1,48.7,132.0,0.65
2026-02-16 02:01:38,227,3.7,11.8,33.1,1.55
2026-02-16 10:08:38,793,36.2,34.1,99.6,0.8
2026-02-16 21:45:38,677,8.9,46.4,73.0,2.44
2026-02-17 06:44:38,536,8.3,41.9,76.0,1.38
2026-02-17 17:32:38,460,19.9,35.0,56.2,2.07
2026-02-18 02:21:38,180,3.9,6.8,27.8,3.27
2026-02-18 11:55:38,759,9.1,48.8,139.2,3.55
2026-02-18 20:54:38,55,2.0,3.6,7.6,2.83
2026-02-19 02:49:38,663,17.5,17.0,79.4,0.55
2026-02-19 10:36:38,71,3.0,1.5,9.3,0.23
2026-02-19 17:41:38,418,19.6,17.8,51.4,2.85
2026-02-20 10:58:08
2026-02-20 11:11:40,139,1.4,2.2,28.5,0.02
2026-02-20 11:23:10,139,1.4,2.2,28.5,0.02
2026-02-20 11:40:42,139,1.4,2.2,28.5,0.02
2026-02-20 13:12:26,139,1.4,2.2,28.5,0.02
2026-02-20 13:19:12,139,1.4,2.2,28.5,0.02
2026-02-20 13:52:07,139,1.4,2.2,28.5,0.02
2026-02-20 14:00:37,139,1.4,2.2,28.5,0.02
2026-02-20 14:09:49,139,1.4,2.2,28.5,0.02
2026-02-20 14:19:07,139,1.4,2.2,28.5,0.02
2026-02-20 14:47:21,139,1.4,2.2,28.5,0.02
2026-02-20 15:07:59,139,1.4,2.2,28.5,0.02
2026-02-20 15:27:37,139,1.4,2.2,28.5,0.02
2026-02-20 15:47:26,139,1.4,2.2,28.5,0.02
2026-02-20 16:05:02,139,1.4,2.2,28.5,0.02
2026-02-21 09:19:10,139,1.4,2.2,28.5,0.02
2026-02-21 09:19:51,139,1.4,2.2,28.5,0.02
2026-02-21 09:21:01,139,1.4,2.2,28.5,0.02
2026-02-21 09:55:45,139,1.4,2.2,28.5,0.02
2026-02-21 10:38:19
2026-02-21 10:52:52,139,1.4,2.2,28.5,0.02
2026-02-21 11:30:10,139,1.4,2.2,28.5,0.02
2026-02-21 11:38:11,139,1.4,2.2,28.5,0.02
2026-02-21 11:46:51,139,1.4,2.2,28.5,0.02
2026-02-21 11:58:22,139,1.4,2.2,28.5,0.02
2026-02-21 12:56:35,139,1.4,2.2,28.5,0.02
